subgroup_family,subgroup_name,classification_group,subgroup_admissions,classification_group_total,subgroup_count_in_group,subgroup_rate_in_group,subgroup_rate_overall,enrichment_ratio,chi_square_p_value
prior_utilisation,previous_psych_admissions_90d_high,false_negative,5289,4331,203,0.04687139228815516,0.11212397447584321,0.4180318482935464,4.089628980788302e-46
care_process,quiet_risk_summary_score_high,false_negative,5811,4331,223,0.05148926344954976,0.12319009560959064,0.4179659346375343,3.926555654193259e-51
demographics,marital_status_Unknown,false_negative,1389,4331,37,0.008543061648580005,0.029446057959339425,0.2901258178726907,2.039057570729345e-17
demographics,race_UNKNOWN,false_negative,1278,4331,30,0.0069268067420918955,0.027092917258485085,0.25566854525134336,1.4827173250549508e-17
prior_utilisation,previous_psych_admissions_365d_high,false_positive,6826,4498,2556,0.568252556691863,0.14470755336965507,3.9269032158968464,0.0
prior_utilisation,previous_ed_visits_365d_high,false_positive,4734,4498,1772,0.39395286794130724,0.10035827097157152,3.9254648782550494,0.0
prior_utilisation,previous_psych_admissions_90d_high,false_positive,5289,4498,1973,0.43863939528679413,0.11212397447584321,3.9120928181269363,0.0
prior_utilisation,previous_total_admissions_high,false_positive,5064,4498,1564,0.3477100933748333,0.10735409467681414,3.2389085336856756,0.0
prior_utilisation,previous_psych_admissions_90d_any,false_positive,13509,4498,3335,0.7414406402845709,0.28638358313370504,2.5889774552419493,0.0
discharge_pathway,discharged_against_advice,false_positive,527,4498,123,0.02734548688305914,0.011172118462614742,2.447654576396172,4.480791381425704e-27
discharge_pathway,home_discharge_without_discharge_planning_order_flag,false_positive,309,4498,66,0.014673188083592708,0.006550634923999915,2.2399642559584194,2.5111630347285937e-12
prior_utilisation,previous_psych_admissions_365d_any,false_positive,19427,4498,3888,0.8643841707425522,0.41184202158105615,2.0988246110102913,0.0
prior_utilisation,previous_ed_visits_365d_any,false_positive,19619,4498,3694,0.8212538906180524,0.41591231900956094,1.9745841925859704,0.0
prior_utilisation,previous_icu_admissions_any,false_positive,9509,4498,1766,0.3926189417518897,0.201585720039855,1.9476525503605415,7.123620482350871e-247
prior_utilisation,previous_icu_admissions_high,false_positive,9509,4498,1766,0.3926189417518897,0.201585720039855,1.9476525503605415,7.123620482350871e-247
diagnosis,has_personality_disorder,false_positive,904,4498,150,0.03334815473543797,0.01916431705921011,1.740117043169629,4.562440491181429e-13
medical_complexity,charlson_5plus,false_positive,2707,4498,434,0.09648732770120054,0.05738695384876301,1.6813460417411639,3.0526513521047016e-32
diagnosis,depression_and_substance_use_flag,false_positive,5254,4498,815,0.18119164072921298,0.11138199317377202,1.6267588284807204,5.178558814608686e-55
prior_utilisation,previous_nonpsych_admissions_365d_any,false_positive,7621,4498,1179,0.26211649622054245,0.16156112865955777,1.6223982736149074,1.5902397835520577e-82
prior_utilisation,previous_nonpsych_admissions_365d_high,false_positive,7621,4498,1179,0.26211649622054245,0.16156112865955777,1.6223982736149074,1.5902397835520577e-82
care_process,quiet_risk_summary_score_high,false_positive,5811,4498,863,0.19186305024455313,0.12319009560959064,1.557455161432768,5.561964747785618e-49
discharge_pathway,low_aftercare_quality_flag,false_positive,5719,4498,809,0.17985771453979546,0.12123974475843209,1.4834880665425234,1.2836285186898045e-36
demographics,insurance_grouped_Medicaid,false_positive,11809,4498,1644,0.36549577590040017,0.25034449131881875,1.4599713138282477,3.1009645297750664e-78
prior_utilisation,previous_total_admissions_any,false_positive,29723,4498,4070,0.904846598488217,0.6301117211846261,1.4360097869423574,0.0
medical_complexity,charlson_3plus,false_positive,11644,4498,1588,0.3530457981325033,0.24684657946619745,1.4302235781267876,1.9967074150575976e-67
diagnosis,self_harm_and_substance_use_flag,false_positive,1867,4498,252,0.05602489995553579,0.03957940259905451,1.4155064573125755,3.4724928889638427e-09
demographics,race_HISPANIC OR LATINO,false_positive,550,4498,74,0.0164517563361494,0.011659706175404379,1.4109923602409153,0.0021071799059078954
diagnosis,psychosis_and_substance_use_flag,false_positive,1077,4498,144,0.03201422854602046,0.02283182463801912,1.4021756497161848,1.8492674338219577e-05
discharge_pathway,had_substance_use_followup_order,false_positive,307,4498,41,0.009115162294353045,0.00650823599245299,1.400558047514422,0.02862800472935638
diagnosis,has_bipolar_disorder,false_positive,3801,4498,506,0.11249444197421075,0.080579169404931,1.3960734865470916,1.7335641265489092e-16
demographics,age_40_to_64,false_positive,21361,4498,2666,0.5927078701645175,0.4528417883869327,1.308863018750548,3.1348236265121095e-87
demographics,race_HISPANIC/LATINO - PUERTO RICAN,false_positive,1226,4498,152,0.03379279679857715,0.025990545038265037,1.3001957730715192,0.0006530969025214654
diagnosis,has_severe_mental_illness,false_positive,6453,4498,795,0.17674522009782126,0.13680015263615358,1.2919957813783243,2.9879665618246745e-16
demographics,marital_status_SINGLE,false_positive,22190,4498,2643,0.587594486438417,0.47041614551313304,1.2490950662364386,1.9363576168824395e-61
