subgroup_family,subgroup_name,admissions,readmissions,readmission_rate,mean_predicted_probability,calibration_gap_mean_predicted_minus_observed,absolute_calibration_gap,calibration_direction,brier_score,pr_auc_average_precision,recall_sensitivity,interpretation_reliability
demographics,race_BLACK/AFRICAN AMERICAN,6481,1609,0.2482641567659312,0.3193725904115034,0.0711084336455722,0.0711084336455722,overestimates,0.1337226474790976,0.6919440695888543,0.6444996892479801,main_interpretation
discharge_pathway,low_aftercare_quality_flag,5719,1918,0.3353733170134639,0.40568830367931036,0.07031498666584646,0.07031498666584646,overestimates,0.11463118792996961,0.8664648749736266,0.8613138686131386,main_interpretation
demographics,age_40_to_64,21361,4796,0.22452132390805674,0.2947682264397146,0.07024690253165788,0.07024690253165788,overestimates,0.13618423797249768,0.6105544594550312,0.591117597998332,main_interpretation
demographics,language_Chinese,308,50,0.16233766233766234,0.23246089403403508,0.07012323169637275,0.07012323169637275,overestimates,0.11518871495104037,0.4926122113716312,0.44,supporting_interpretation
medical_complexity,medical_complexity_no_aftercare_flag,4284,825,0.19257703081232494,0.26266572938617005,0.07008869857384512,0.07008869857384512,overestimates,0.10612133536241299,0.6846955053307239,0.6763636363636364,main_interpretation
discharge_pathway,discharged_against_advice,527,167,0.31688804554079697,0.38666274506215054,0.06977469952135357,0.06977469952135357,overestimates,0.20705692810901183,0.4783574156122221,0.6107784431137725,supporting_interpretation
discharge_pathway,discharged_to_facility_flag,16552,3290,0.19876752054132432,0.2683052489115185,0.0695377283701942,0.0695377283701942,overestimates,0.13805829691135002,0.4957847561285951,0.42948328267477204,main_interpretation
demographics,marital_status_SINGLE,22190,5027,0.22654348805768365,0.2960042515835303,0.06946076352584662,0.06946076352584662,overestimates,0.12973935706947287,0.6534153221955619,0.6144817982892381,main_interpretation
care_process,quiet_risk_summary_score_high,5811,2410,0.414730683187059,0.48347443247418603,0.06874374928712701,0.06874374928712701,overestimates,0.11310959415071922,0.9128637016939516,0.9074688796680498,main_interpretation
care_process,late_order_type_diversity_last_12h_high,9714,1679,0.17284331892114474,0.24121378354915388,0.06837046462800914,0.06837046462800914,overestimates,0.12993774154615803,0.40594793896452236,0.4091721262656343,main_interpretation
demographics,insurance_grouped_Medicare,21195,3976,0.18759141306912008,0.25591092005071087,0.06831950698159078,0.06831950698159078,overestimates,0.1266488563389923,0.5290279943755272,0.4615191146881288,main_interpretation
diagnosis,has_depression,19231,4191,0.21792938484738184,0.2853672846691129,0.06743789982173104,0.06743789982173104,overestimates,0.13120749706899873,0.6156623960816711,0.5592937246480554,main_interpretation
care_process,late_medication_change_intensity_score_any,29135,5208,0.1787540758537841,0.2457918507467493,0.0670377748929652,0.0670377748929652,overestimates,0.12747868620689373,0.4680046056606716,0.44719662058371734,main_interpretation
discharge_pathway,discharged_home_flag,14459,2307,0.15955460266961755,0.22655932107679042,0.06700471840717287,0.06700471840717287,overestimates,0.11811775928612464,0.429842835640321,0.41915908105765065,main_interpretation
diagnosis,has_self_harm_or_suicidal_ideation,3648,1234,0.33826754385964913,0.40469093995813,0.06642339609848086,0.06642339609848086,overestimates,0.10754705088440908,0.883581753399686,0.8387358184764991,main_interpretation
discharge_pathway,protective_aftercare_present_flag,34278,5927,0.17290973802438883,0.23908909249897137,0.06617935447458254,0.06617935447458254,overestimates,0.12894392546095265,0.41507309006903736,0.3919352117428716,main_interpretation
care_process,orders_last_12h_before_discharge_any,43122,7207,0.16713046704698298,0.23327535687078563,0.06614488982380265,0.06614488982380265,overestimates,0.12374965873428191,0.4257486028456738,0.4147356736506175,main_interpretation
care_process,care_team_touchpoints_last_12h_before_discharge_any,43117,7207,0.1671498480877612,0.23328952406114914,0.06613967597338793,0.06613967597338793,overestimates,0.12376156317969401,0.42575434946210267,0.4147356736506175,main_interpretation
care_process,late_order_type_diversity_last_12h_any,43044,7197,0.16720100362419849,0.23331633946170657,0.06611533583750809,0.06611533583750809,overestimates,0.12383909787851301,0.42508939905811105,0.4142003612616368,main_interpretation
demographics,race_OTHER,1419,243,0.17124735729386892,0.2372394309370164,0.06599207364314749,0.06599207364314749,overestimates,0.09805925329995184,0.6620019450057408,0.551440329218107,main_interpretation
overall,all_test_admissions,47171,9319,0.1975578215428971,0.2634639407639277,0.0659061192210306,0.0659061192210306,overestimates,0.12278740412405476,0.5964790342960908,0.535250563365168,main_interpretation
care_process,quiet_risk_summary_score_any,47171,9319,0.1975578215428971,0.2634639407639277,0.0659061192210306,0.0659061192210306,overestimates,0.12278740412405476,0.5964790342960908,0.535250563365168,main_interpretation
demographics,race_WHITE - RUSSIAN,500,85,0.17,0.23588980090816772,0.0658898009081677,0.0658898009081677,overestimates,0.11167931282989642,0.5648461391586042,0.4588235294117647,supporting_interpretation
