subgroup_family,subgroup_name,subgroup_admissions,complement_admissions,subgroup_readmission_rate,complement_readmission_rate,readmission_rate_difference,subgroup_pr_auc,complement_pr_auc,pr_auc_difference,subgroup_recall,complement_recall,recall_difference,subgroup_precision,complement_precision,precision_difference,absolute_pr_auc_difference,absolute_recall_difference
demographics,marital_status_MARRIED,14808,32363,0.17456780118854673,0.20807712511201062,-0.033509323923463896,0.5143280098482026,0.6265904267918843,-0.11226241694368166,0.42823984526112185,0.5763290763290764,-0.14808923106795452,0.4950805008944544,0.5353103448275862,-0.04022984393313184,0.11226241694368166,0.14808923106795452
diagnosis,has_bipolar_disorder,3801,43370,0.2578268876611418,0.19227576665898086,0.06555112100216096,0.695519311030472,0.5838589706670259,0.11166034036344619,0.6469387755102041,0.5221249550305792,0.12481382047962486,0.5561403508771929,0.5216870357057273,0.03445331517146566,0.11166034036344619,0.12481382047962486
demographics,race_WHITE,30368,16803,0.19533719704952582,0.20157114800928405,-0.006233950959758233,0.5555571882278715,0.662603189400192,-0.10704600117232055,0.49527983816587995,0.6052553882491881,-0.10997555008330817,0.5036859249099949,0.5611825896523406,-0.057496664742345716,0.10704600117232055,0.10997555008330817
prior_utilisation,previous_nonpsych_admissions_365d_any,7621,39550,0.23107203779031624,0.19109987357774968,0.03997216421256655,0.5060347366887541,0.611606684714671,-0.10557194802591685,0.56274843838728,0.5288436094204816,0.03390482896679836,0.45668202764976956,0.5463367960634227,-0.08965476841365311,0.10557194802591685,0.03390482896679836
prior_utilisation,previous_nonpsych_admissions_365d_high,7621,39550,0.23107203779031624,0.19109987357774968,0.03997216421256655,0.5060347366887541,0.611606684714671,-0.10557194802591685,0.56274843838728,0.5288436094204816,0.03390482896679836,0.45668202764976956,0.5463367960634227,-0.08965476841365311,0.10557194802591685,0.03390482896679836
demographics,language_Chinese,308,46863,0.16233766233766234,0.19778930072765294,-0.0354516383899906,0.4926122113716312,0.5970318574197296,-0.10441964604809845,0.44,0.5357643758765779,-0.09576437587657788,0.46808510638297873,0.5261150545608645,-0.05802994817788576,0.10441964604809845,0.09576437587657788
medical_complexity,medical_complexity_no_aftercare_flag,4284,42887,0.19257703081232494,0.19805535476951058,-0.0054783239571856435,0.6846955053307239,0.5871560713301824,0.09753943400054144,0.6763636363636364,0.5215446197315752,0.1548190166320612,0.5613682092555332,0.5216674517192652,0.039700757536268005,0.09753943400054144,0.1548190166320612
prior_utilisation,previous_psych_admissions_90d_any,13509,33662,0.31734399289362647,0.14948606737567582,0.16785792551795065,0.6309631207156406,0.5367792901029235,0.09418383061271718,0.7315138791695824,0.36804451510333863,0.3634693640662438,0.4846237057641786,0.6142620232172471,-0.12963831745306847,0.09418383061271718,0.3634693640662438
demographics,language_English,43738,3433,0.20042068681695552,0.1610836003495485,0.03933708646740702,0.6015467890464571,0.5128088712933359,0.08873791775312123,0.5419803787360256,0.42857142857142855,0.11340895016459701,0.527771606309709,0.4896694214876033,0.0381021848221057,0.08873791775312123,0.11340895016459701
diagnosis,depression_and_substance_use_flag,5254,41917,0.2596117244004568,0.18977980294391297,0.06983192145654385,0.6657642367540485,0.5836865392388897,0.08207769751515881,0.6671554252199413,0.5126335637963545,0.15452186142358681,0.527536231884058,0.5254477515784048,0.0020884803056531176,0.08207769751515881,0.15452186142358681
