subgroup_family,subgroup_name,classification_group,subgroup_admissions,classification_group_total,subgroup_count_in_group,subgroup_rate_in_group,subgroup_rate_overall,enrichment_ratio,chi_square_p_value,admissions,readmissions,readmission_rate,pr_auc_average_precision,recall_sensitivity,precision,interpretation_reliability,error_profile_priority_score
diagnosis,depression_and_substance_use_flag,false_negative,5254,4331,454,0.10482567536365735,0.11138199317377202,0.9411366449522423,0.15742208610196412,5254,1364,0.2596117244004568,0.6657642367540485,0.6671554252199413,0.527536231884058,main_interpretation,5.760036178981365
discharge_pathway,discharged_against_advice,false_negative,527,4331,65,0.01500808127453244,0.011172118462614742,1.343351426567305,0.01450713624607254,527,167,0.31688804554079697,0.4783574156122221,0.6107784431137725,0.4533333333333333,supporting_interpretation,5.628178674525673
care_process,orders_last_24h_before_discharge_high,false_negative,4765,4331,407,0.09397367813438005,0.10101545441054885,0.9302901093970287,0.11246042773503225,4765,676,0.14186778593913957,0.44007016502480006,0.3979289940828402,0.4629948364888124,main_interpretation,5.5922223972912155
discharge_pathway,home_discharge_with_psych_risk,false_negative,2307,4331,211,0.048718540752713,0.04890716753937801,0.9961431668167425,0.9813060117716994,2307,360,0.15604681404421328,0.4337629135512745,0.41388888888888886,0.43440233236151604,main_interpretation,5.335926814978876
demographics,race_WHITE - OTHER EUROPEAN,false_negative,1262,4331,127,0.02932348187485569,0.026753725806109685,1.0960522690323438,0.293558733163133,1262,248,0.196513470681458,0.5598964065394069,0.4879032258064516,0.5377777777777778,main_interpretation,5.318078780182698
demographics,age_under_40,false_negative,11027,4331,800,0.18471484645578387,0.2337665090839711,0.7901681347751683,1.407181858500183e-15,11027,2379,0.21574317584111727,0.7175175278404943,0.6637242538881883,0.581798084008843,main_interpretation,5.282954273911146
diagnosis,has_personality_disorder,false_negative,904,4331,89,0.020549526668205958,0.01916431705921011,1.0722806664446274,0.5224554230338667,904,267,0.29535398230088494,0.6757012689362834,0.6666666666666666,0.5426829268292683,supporting_interpretation,4.825058912175716
diagnosis,has_psychotic_disorder,false_negative,3064,4331,234,0.054029092588316785,0.06495516312988912,0.8317905765285546,0.0024516465045908795,3064,946,0.3087467362924282,0.8311904270120671,0.7526427061310782,0.678741658722593,main_interpretation,4.541231782416915
demographics,language_Russian,false_negative,569,4331,57,0.013160932809974601,0.012062496025100167,1.0910621468880701,0.5340527100501498,569,76,0.1335676625659051,0.39735628012046975,0.25,0.5428571428571428,supporting_interpretation,4.430195668403435
prior_utilisation,previous_total_admissions_high,false_negative,5064,4331,351,0.08104363888247518,0.10735409467681414,0.7549189355697544,5.1100881579557395e-09,5064,2035,0.4018562401263823,0.6825283350278294,0.8275184275184275,0.5184729064039408,main_interpretation,4.426566205656143
demographics,language_Spanish,false_negative,1361,4331,115,0.02655275917801893,0.028852472917682476,0.9202940508349235,0.36752908155301245,1361,246,0.1807494489346069,0.5595788239211079,0.532520325203252,0.48518518518518516,main_interpretation,4.374700772982434
demographics,race_HISPANIC/LATINO - PUERTO RICAN,false_negative,1226,4331,103,0.023782036481182173,0.025990545038265037,0.915026462360395,0.36364202128897405,1226,246,0.200652528548124,0.5699710023557983,0.5813008130081301,0.4847457627118644,main_interpretation,4.249740574260144
discharge_pathway,had_substance_use_followup_order,false_negative,307,4331,33,0.007619487416301085,0.00650823599245299,1.170745410144425,0.3924408982844365,307,60,0.19543973941368079,0.4558065568400266,0.45,0.39705882352941174,supporting_interpretation,4.128470398708858
demographics,race_OTHER,false_negative,1419,4331,109,0.025167397829600553,0.0300820419325433,0.8366253157294486,0.05235112688443004,1419,243,0.17124735729386892,0.6620019450057408,0.551440329218107,0.575107296137339,main_interpretation,3.9325408701111546
demographics,race_WHITE - RUSSIAN,false_negative,500,4331,46,0.010621103671207574,0.010599732886731255,1.002016162549065,1.0,500,85,0.17,0.5648461391586042,0.4588235294117647,0.6190476190476191,supporting_interpretation,3.857910125112998
diagnosis,new_psychosis_this_admission_flag,false_negative,1452,4331,108,0.024936504271530824,0.03078162430306756,0.8101100847054963,0.02197712094648722,1452,417,0.2871900826446281,0.8537695007471603,0.7410071942446043,0.7592137592137592,main_interpretation,3.800508230255602
medical_complexity,medical_complexity_no_aftercare_flag,false_negative,4284,4331,267,0.06164858000461787,0.09081851137351339,0.6788107300181675,2.9008413485649426e-12,4284,825,0.19257703081232494,0.6846955053307239,0.6763636363636364,0.5613682092555332,main_interpretation,3.7952219537626446
demographics,insurance_grouped_Other / unknown,false_negative,2243,4331,148,0.03417224659432002,0.04755040172987641,0.7186531627733703,1.6797632810294998e-05,2243,411,0.18323673651359787,0.7529368635535937,0.6399026763990268,0.6795865633074936,main_interpretation,3.596101839115827
