subgroup_family,subgroup_name,subgroup_value,admissions,readmissions,readmission_rate,mean_predicted_probability,threshold,roc_auc,pr_auc_average_precision,brier_score,precision,recall_sensitivity,specificity,f1_score,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,pr_auc_difference_from_overall,recall_difference_from_overall,subgroup_size_flag,event_support_flag,interpretation_reliability
demographics,insurance_grouped_Medicaid,included,11809,2826,0.23930900160894233,0.31666402879855476,0.38,0.8037324807675172,0.6409662162088579,0.14017105993154863,0.5188762071992976,0.6273885350318471,0.8169876433262829,0.5679961556943777,0.7221880891790651,7339,1644,1053,1773,0.044487181912767015,0.09213797166667914,large,high_event_support,main_interpretation
demographics,insurance_grouped_Private,included,11924,2106,0.17661858436766187,0.23050260165717926,0.38,0.8254647209797613,0.6188905103546495,0.10568635732049347,0.5604616156547918,0.5303893637226971,0.9107761254838053,0.5450109782873872,0.7205827446032511,8942,876,989,1117,0.022411476058558644,-0.0048611996424708925,large,high_event_support,main_interpretation
demographics,gender_M,included,23471,4855,0.20685100762643263,0.2785476039973895,0.38,0.8045877061336559,0.6113307130540441,0.1267876964815824,0.5199403652627655,0.5746652935118435,0.8616244091104426,0.5459348400352216,0.718144851311143,16040,2576,2065,2790,0.014851678757953235,0.039414730146675514,large,high_event_support,main_interpretation
demographics,age_40_to_64,included,21361,4796,0.22452132390805674,0.2947682264397146,0.38,0.7967759504789055,0.6105544594550312,0.13618423797249768,0.515360843483003,0.591117597998332,0.8390582553576819,0.5506458191706323,0.7150879266780069,13899,2666,1961,2835,0.014075425158940336,0.055867034633164,large,high_event_support,main_interpretation
demographics,marital_status_DIVORCED,included,4289,914,0.21310328747959897,0.29318901678731246,0.38,0.7848341032498583,0.6045911566355169,0.13310177253428768,0.5140280561122245,0.5612691466083151,0.8562962962962963,0.5366108786610879,0.7087827214523057,2890,485,401,513,0.008112122339426042,0.026018583243147098,moderate,high_event_support,main_interpretation
demographics,language_English,included,43738,8766,0.20042068681695552,0.2660649377922656,0.38,0.8020304513223694,0.6015467890464571,0.1236587049603458,0.527771606309709,0.5419803787360256,0.8784456136337642,0.5347816298964431,0.7102129961848949,30721,4251,4015,4751,0.005067754750366249,0.006729815370857595,large,high_event_support,main_interpretation
demographics,race_UNKNOWN,included,1278,62,0.048513302034428794,0.08930222477864372,0.38,0.8516022920203735,0.5876063370938782,0.0296640983841226,0.7272727272727273,0.5161290322580645,0.9901315789473685,0.6037735849056604,0.7531303056027165,1204,12,30,32,-0.00887269720221262,-0.019121531107103462,moderate,limited_event_support,exploratory_only
demographics,gender_F,included,23700,4464,0.18835443037974683,0.24852602263090745,0.38,0.7976480683992305,0.5805442484830852,0.11882576438044583,0.5334951456310679,0.4923835125448029,0.9000831773757538,0.5121155638397018,0.6962333449602783,17314,1922,2266,2198,-0.01593478581300567,-0.04286705082036507,large,high_event_support,main_interpretation
demographics,race_HISPANIC/LATINO - PUERTO RICAN,included,1226,246,0.200652528548124,0.28599645170441235,0.38,0.7920939107350257,0.5699710023557983,0.13117596723014513,0.4847457627118644,0.5813008130081301,0.8448979591836735,0.5286506469500925,0.7130993860959018,828,152,103,143,-0.026508031940292498,0.046050249642962116,moderate,moderate_event_support,main_interpretation
demographics,race_WHITE - RUSSIAN,included,500,85,0.17,0.23588980090816772,0.38,0.771566265060241,0.5648461391586042,0.11167931282989642,0.6190476190476191,0.4588235294117647,0.9421686746987952,0.527027027027027,0.7004961020552799,391,24,46,39,-0.03163289513748668,-0.07642703395340328,small,limited_event_support,supporting_interpretation
demographics,race_WHITE - OTHER EUROPEAN,included,1262,248,0.196513470681458,0.2510608196125414,0.38,0.7808145638480627,0.5598964065394069,0.12576688342052206,0.5377777777777778,0.4879032258064516,0.8974358974358975,0.5116279069767442,0.6926695616211745,910,104,127,121,-0.03658262775668397,-0.04734733755871634,moderate,moderate_event_support,main_interpretation
demographics,language_Spanish,included,1361,246,0.1807494489346069,0.2585555293354059,0.38,0.8146633125524082,0.5595788239211079,0.11874212847013829,0.48518518518518516,0.532520325203252,0.8753363228699551,0.5077519379844961,0.7039283240366035,976,139,115,131,-0.03690021037498292,-0.0027302381619159766,moderate,moderate_event_support,main_interpretation
demographics,race_WHITE,included,30368,5932,0.19533719704952582,0.2600828529230208,0.38,0.7809906321405238,0.5555571882278715,0.12727092887239078,0.5036859249099949,0.49527983816587995,0.8815272548698642,0.4994475138121547,0.6884035465178721,21541,2895,2994,2938,-0.04092184606821936,-0.039970725199288015,large,high_event_support,main_interpretation
demographics,insurance_grouped_Medicare,included,21195,3976,0.18759141306912008,0.25591092005071087,0.38,0.769407416681984,0.5290279943755272,0.1266488563389923,0.49742477636215776,0.4615191146881288,0.8923282420581915,0.47879973907371165,0.6769236783731601,15365,1854,2141,1835,-0.06745103992056367,-0.07373144867703918,large,high_event_support,main_interpretation
demographics,marital_status_MARRIED,included,14808,2585,0.17456780118854673,0.2347642408689237,0.38,0.7723246484455297,0.5143280098482026,0.11937037143958588,0.4950805008944544,0.42823984526112185,0.907633150617688,0.45924082140634725,0.6679364979394049,11094,1129,1478,1107,-0.08215102444788824,-0.10701071810404611,large,high_event_support,main_interpretation
demographics,language_Chinese,included,308,50,0.16233766233766234,0.23246089403403508,0.38,0.7711627906976745,0.4926122113716312,0.11518871495104037,0.46808510638297873,0.44,0.9031007751937985,0.4536082474226804,0.6715503875968992,233,25,28,22,-0.10386682292445965,-0.09525056336516796,small,limited_event_support,supporting_interpretation
