config_number,subsample,reg_lambda,reg_alpha,num_leaves,n_estimators,min_child_samples,max_depth,learning_rate,colsample_bytree,scale_pos_weight_multiplier,effective_scale_pos_weight,best_iteration,training_roc_auc,validation_roc_auc,training_pr_auc_average_precision,validation_pr_auc_average_precision,validation_brier_score,elapsed_seconds,pr_auc_gap,passes_pr_auc_gap_filter,selected_config,max_allowed_pr_auc_gap,gap_filter_used_for_selection
24,0.75,90.0,1.5,159,575,125,-1,0.014,1.0,0.45,1.8133087094823734,571,0.9223661687850302,0.7947190548851438,0.768654146899356,0.5916322608427002,0.1251540470507254,30.895341057999758,0.1770218860566558,False,False,0.13,False
39,0.95,67.5,0.0,191,500,150,10,0.024,1.0,0.45,1.8133087094823734,480,0.8951069699767354,0.7943987092119353,0.7272567866011949,0.5912730404539558,0.12590696868933807,13.510416193996207,0.13598374614723907,False,False,0.13,False
31,0.75,67.5,1.0,127,650,125,8,0.02,1.0,0.5,2.014787454980415,645,0.8758784533179947,0.7946461334899804,0.6944821773969017,0.590652313213596,0.1294405387370852,13.552764594998735,0.10382986418330564,True,False,0.13,False
1,0.95,67.5,1.5,159,425,150,8,0.02,0.9,0.45,1.8133087094823734,424,0.8528475505618459,0.7951834575185932,0.659209652346325,0.5903388594230902,0.12677646218799637,9.009189807002258,0.06887079292323484,True,False,0.13,False
14,0.75,90.0,0.0,223,425,175,-1,0.017,1.0,0.4,1.6118299639843319,425,0.9162829462391766,0.7948113847808905,0.7560269030141552,0.5898604712450175,0.12309174869262733,23.127697755000554,0.1661664317691377,False,False,0.13,False
17,0.85,33.75,1.0,159,575,150,8,0.017,1.0,0.5,2.014787454980415,488,0.8600373718304655,0.7944862768941205,0.6696898227815594,0.589653758320093,0.13006140837700744,11.439348088999395,0.08003606446146638,True,False,0.13,False
23,0.95,90.0,0.5,159,425,150,-1,0.014,0.9,0.5,2.014787454980415,425,0.8999102567990966,0.7949889880632265,0.7216748143387162,0.5895660667148653,0.12880604821116992,21.3696210220005,0.13210874762385083,False,False,0.13,False
12,0.75,90.0,1.5,223,350,175,8,0.017,0.9,0.45,1.8133087094823734,350,0.8327031352282989,0.7941419713339299,0.628860833002887,0.5871638469139124,0.12740108859663957,7.912835171999177,0.04169698608897454,True,False,0.13,False
37,0.75,33.75,1.5,191,500,175,6,0.017,1.0,0.25,1.0073937274902074,500,0.8253272915458538,0.7936276708716641,0.6235430771325702,0.5870438865802482,0.11949404979090233,7.634569901005307,0.03649919055232198,True,False,0.13,False
13,0.95,67.5,1.5,191,650,150,6,0.024,0.9,0.5,2.014787454980415,643,0.8487935711268834,0.7937255132776404,0.6514232817800331,0.5868585208428732,0.13060567294446407,8.672218092993717,0.0645647609371599,True,False,0.13,False
50,0.75,45.0,1.5,127,425,150,6,0.02,0.9,0.45,1.8133087094823734,422,0.8274246552010823,0.793982722416363,0.6234020190627347,0.5868226579706322,0.12763269713043268,6.459108973002003,0.03657936109210258,True,False,0.13,False
26,0.75,67.5,0.0,127,425,150,6,0.02,0.8,0.4,1.6118299639843319,425,0.8235928447871618,0.7936903485470307,0.6184018920885275,0.5861456480853173,0.12464482183337619,6.038263607995759,0.032256244003210144,True,False,0.13,False
20,0.85,33.75,0.0,159,500,150,6,0.02,1.0,0.5,2.014787454980415,485,0.8355766899225362,0.7939426094482243,0.6335887142434811,0.5861107342537526,0.13101228330308898,7.4441492820042185,0.04747797998972847,True,False,0.13,False
25,0.95,45.0,0.0,127,350,175,6,0.02,0.8,0.35,1.4103512184862903,350,0.8180821205696531,0.7936144569691901,0.6118680511408149,0.5859239316507349,0.12211200742143083,5.14722663500288,0.02594411949008002,True,False,0.13,False
28,0.75,67.5,1.0,191,350,100,6,0.017,0.8,0.4,1.6118299639843319,350,0.8132451279144108,0.7932627042495105,0.6052155533931496,0.5857037883267706,0.12477361966023964,5.441207550000399,0.019511765066378972,True,False,0.13,False
35,0.95,90.0,1.0,191,575,150,6,0.014,0.8,0.45,1.8133087094823734,575,0.8201287880399175,0.7939654469906041,0.6129050691372229,0.5856148987152439,0.12780080064299676,7.802718514001754,0.02729017042197901,True,False,0.13,False
42,0.75,90.0,1.5,223,350,100,6,0.017,1.0,0.35,1.4103512184862903,350,0.8113051787035421,0.7927931363505702,0.6023626643389249,0.5848521467320486,0.12236170606023156,5.855689962001634,0.017510517606876386,True,False,0.13,False
44,0.75,90.0,1.0,191,425,150,6,0.017,0.9,0.4,1.6118299639843319,425,0.8159566043081639,0.793371577876745,0.6077448294921313,0.584685282083798,0.12489152793696548,6.483824511997227,0.02305954740833327,True,False,0.13,False
41,0.95,33.75,1.5,127,350,175,6,0.014,1.0,0.25,1.0073937274902074,350,0.8084622091230954,0.7914692223780234,0.6005025630525964,0.5830291978408779,0.12024451463600455,5.910860191004758,0.017473365211718495,True,False,0.13,False
33,0.95,90.0,0.5,223,425,125,6,0.014,1.0,0.5,2.014787454980415,422,0.8127829404613685,0.7926158431081797,0.602232458283003,0.5829331988788632,0.1318545112737316,6.946295382003882,0.01929925940413979,True,False,0.13,False
43,0.85,90.0,1.0,127,350,175,6,0.017,1.0,0.35,1.4103512184862903,350,0.8093407976378055,0.7917333888131213,0.5981630161576569,0.5810280286354813,0.12284074735676762,5.697984304999409,0.01713498752217557,True,False,0.13,False
