work_package,model_family,model,threshold_role,threshold,true_positives,false_negatives,true_negatives,false_positives,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms,source_file
WP3.4,Targeted CatBoost,Targeted CatBoost exploratory held-out F1 threshold,exploratory,0.34,4928,4391,33466,4386,0.8139,0.7065,0.5291,0.5288,0.8841,0.529,0.7979,0.5912,0.1202,49.5074,0.9577,0.2183,0.0046,t3_4_catboost_targeted_performance.csv
WP3.4,Calibrated Targeted CatBoost,Calibrated Targeted CatBoost default threshold,default,0.5,3041,6278,36606,1246,0.8405,0.6467,0.7094,0.3263,0.9671,0.447,0.79,0.5785,0.1211,28.5832,0.8627,0.2353,0.005,t3_4_calibrated_targeted_catboost_performance.csv
WP3.4,Calibrated Targeted CatBoost,Calibrated Targeted CatBoost official balanced precision-recall threshold,official,0.25,4752,4567,33624,4228,0.8136,0.6991,0.5292,0.5099,0.8883,0.5194,0.79,0.5785,0.1211,28.5832,0.8627,0.2353,0.005,t3_4_calibrated_targeted_catboost_performance.csv
WP3.4,Calibrated Targeted CatBoost,Calibrated Targeted CatBoost validation Youden threshold,recall sensitivity,0.18,5725,3594,30525,7327,0.7685,0.7104,0.4386,0.6143,0.8064,0.5118,0.79,0.5785,0.1211,28.5832,0.8627,0.2353,0.005,t3_4_calibrated_targeted_catboost_performance.csv
WP3.4,Calibrated Targeted CatBoost,Calibrated Targeted CatBoost balanced precision-recall threshold,balanced precision-recall,0.25,4752,4567,33624,4228,0.8136,0.6991,0.5292,0.5099,0.8883,0.5194,0.79,0.5785,0.1211,28.5832,0.8627,0.2353,0.005,t3_4_calibrated_targeted_catboost_performance.csv
WP3.4,Calibrated Targeted CatBoost,Calibrated Targeted CatBoost exploratory held-out F1 threshold,exploratory,0.25,4752,4567,33624,4228,0.8136,0.6991,0.5292,0.5099,0.8883,0.5194,0.79,0.5785,0.1211,28.5832,0.8627,0.2353,0.005,t3_4_calibrated_targeted_catboost_performance.csv
WP3.4,LightGBM,LightGBM default threshold,default,0.5,5774,3545,30942,6910,0.7784,0.7185,0.4552,0.6196,0.8174,0.5248,0.7997,0.592,0.1595,54.9898,0.5869,0.1461,0.0031,t3_4_lightgbm_performance.csv
WP3.4,LightGBM,LightGBM official balanced precision-recall threshold,official,0.6,4710,4609,33991,3861,0.8204,0.7017,0.5495,0.5054,0.898,0.5266,0.7997,0.592,0.1595,54.9898,0.5869,0.1461,0.0031,t3_4_lightgbm_performance.csv
WP3.4,LightGBM,LightGBM training Youden threshold,recall sensitivity,0.45,6317,3002,28903,8949,0.7466,0.7207,0.4138,0.6779,0.7636,0.5139,0.7997,0.592,0.1595,54.9898,0.5869,0.1461,0.0031,t3_4_lightgbm_performance.csv
WP3.4,LightGBM,LightGBM balanced precision-recall threshold,balanced precision-recall,0.6,4710,4609,33991,3861,0.8204,0.7017,0.5495,0.5054,0.898,0.5266,0.7997,0.592,0.1595,54.9898,0.5869,0.1461,0.0031,t3_4_lightgbm_performance.csv
WP3.4,LightGBM,LightGBM exploratory held-out F1 threshold,exploratory,0.55,5223,4096,32633,5219,0.8025,0.7113,0.5002,0.5605,0.8621,0.5286,0.7997,0.592,0.1595,54.9898,0.5869,0.1461,0.0031,t3_4_lightgbm_performance.csv
WP3.4,Targeted LightGBM,Targeted LightGBM default threshold,default,0.5,3688,5631,35908,1944,0.8394,0.6722,0.6548,0.3958,0.9486,0.4933,0.7999,0.5945,0.1212,52.8694,0.5462,0.1231,0.0026,t3_4_lightgbm_targeted_performance.csv
WP3.4,Targeted LightGBM,Targeted LightGBM official balanced precision-recall threshold,official,0.39,4671,4648,34059,3793,0.8211,0.7005,0.5519,0.5012,0.8998,0.5253,0.7999,0.5945,0.1212,52.8694,0.5462,0.1231,0.0026,t3_4_lightgbm_targeted_performance.csv
WP3.4,Targeted LightGBM,Targeted LightGBM training Youden threshold,recall sensitivity,0.29,5877,3442,30573,7279,0.7727,0.7192,0.4467,0.6306,0.8077,0.523,0.7999,0.5945,0.1212,52.8694,0.5462,0.1231,0.0026,t3_4_lightgbm_targeted_performance.csv
WP3.4,Targeted LightGBM,Targeted LightGBM balanced precision-recall threshold,balanced precision-recall,0.39,4671,4648,34059,3793,0.8211,0.7005,0.5519,0.5012,0.8998,0.5253,0.7999,0.5945,0.1212,52.8694,0.5462,0.1231,0.0026,t3_4_lightgbm_targeted_performance.csv
WP3.4,Targeted LightGBM,Targeted LightGBM exploratory held-out F1 threshold,exploratory,0.35,5116,4203,32947,4905,0.8069,0.7097,0.5105,0.549,0.8704,0.5291,0.7999,0.5945,0.1212,52.8694,0.5462,0.1231,0.0026,t3_4_lightgbm_targeted_performance.csv
WP3.4,Calibrated Targeted LightGBM,Calibrated Targeted LightGBM default threshold,default,0.5,2887,6432,36832,1020,0.842,0.6414,0.7389,0.3098,0.9731,0.4366,0.7905,0.5825,0.1198,26.0327,0.6588,0.1248,0.0026,t3_4_calibrated_targeted_lightgbm_performance.csv
WP3.4,Calibrated Targeted LightGBM,Calibrated Targeted LightGBM official balanced precision-recall threshold,official,0.28,4786,4533,33586,4266,0.8135,0.7004,0.5287,0.5136,0.8873,0.521,0.7905,0.5825,0.1198,26.0327,0.6588,0.1248,0.0026,t3_4_calibrated_targeted_lightgbm_performance.csv
WP3.4,Calibrated Targeted LightGBM,Calibrated Targeted LightGBM validation Youden threshold,recall sensitivity,0.25,5224,4095,32445,5407,0.7986,0.7089,0.4914,0.5606,0.8572,0.5237,0.7905,0.5825,0.1198,26.0327,0.6588,0.1248,0.0026,t3_4_calibrated_targeted_lightgbm_performance.csv
WP3.4,Calibrated Targeted LightGBM,Calibrated Targeted LightGBM balanced precision-recall threshold,balanced precision-recall,0.28,4786,4533,33586,4266,0.8135,0.7004,0.5287,0.5136,0.8873,0.521,0.7905,0.5825,0.1198,26.0327,0.6588,0.1248,0.0026,t3_4_calibrated_targeted_lightgbm_performance.csv
WP3.4,Calibrated Targeted LightGBM,Calibrated Targeted LightGBM exploratory held-out F1 threshold,exploratory,0.25,5224,4095,32445,5407,0.7986,0.7089,0.4914,0.5606,0.8572,0.5237,0.7905,0.5825,0.1198,26.0327,0.6588,0.1248,0.0026,t3_4_calibrated_targeted_lightgbm_performance.csv
