processed_feature_name,feature_importance
num__discharged_to_facility_flag,12
num__psych_related_order_proportion,12
num__single_or_divorced_or_widowed,12
num__previous_height_cm_before_admission_missing,12
num__depression_and_substance_use_flag,12
num__late_discharge_hour_with_late_orders_flag,12
num__home_discharge_without_followup_order_flag,12
num__careunit_change_last_24h_before_discharge_flag,12
num__systolic_bp_arterial_vital_last_value,12
num__late_psych_safety_without_psych_facility_discharge_flag,12
num__num_prn_antipsychotic_orders,12
num__abnormal_labs_last_24h_before_discharge,11
num__prior_psych_365d_x_smi,11
num__has_self_harm_or_suicidal_ideation,11
num__substance_use_and_withdrawal_treatment_flag,11
num__no_late_orders_but_self_harm_flag,11
cat__psych_diagnosis_burden_category_1 diagnosis,11
num__systolic_bp_arterial_vital_min_value,11
cat__discharge_location_grouped_Unknown / not modelled,11
cat__time_since_previous_psych_category_365+ days,11
num__previous_admission_had_late_safety_orders,11
num__days_since_latest_body_measure_missing,11
num__had_prn_benzodiazepine,11
num__previous_weight_kg_before_admission_missing,11
num__low_psych_marker_medical_instability_flag,11
num__elixhauser_alcohol_abuse,11
num__previous_discharge_to_facility_flag,11
cat__discharge_location_AGAINST ADVICE,11
num__elixhauser_fluid_electrolyte,10
num__self_harm_without_followup_order_flag,10
num__num_unique_antipsychotics,10
num__had_antipsychotic,10
num__self_harm_recurrent_flag,10
num__depression_on_current_and_previous_admission_flag,10
num__smi_x_antipsychotic_polypharmacy,10
num__late_medication_orders_and_psychotropic_change_flag,10
num__elixhauser_hypothyroidism,10
num__elixhauser_drug_abuse,10
num__psychotropic_change_with_aftercare_plan_flag,10
num__frequent_psych_admitter_flag,10
num__previous_admission_had_late_lab_orders,9
num__late_lab_activity_without_facility_discharge_flag,9
cat__service_transfer_category_1 transfer,9
num__mostly_psych_readmission_pattern_flag,9
num__psychosis_without_followup_order_flag,9
num__quiet_prior_psych_low_activity_score,9
num__previous_bmi_before_admission_missing,9
num__rass_extreme_flag,9
num__late_lab_activity_without_followup_flag,9
num__internal_transfer_from_psych_flag,9
num__antidepressant_antipsychotic_combination,9
num__spo2_72h_max,9
num__facility_discharge_and_late_orders_flag,9
num__followup_order_first_72h_flag,9
num__late_psych_safety_orders_last_6h,9
num__systolic_bp_arterial_vital_relative_range,9
num__older_age_x_no_recent_psych_history,8
num__late_consult_orders_last_6h,8
num__friday_evening_discharge_flag,8
num__no_recent_psych_history_and_high_charlson,8
num__icu_or_procedure_without_psych_marker_flag,8
num__admissions_per_365d,8
num__late_order_type_diversity_x_low_aftercare_flag,8
num__late_lab_orders_last_6h,8
cat__discharge_season_spring,8
num__medical_complexity_without_prior_psych_flag,7
num__num_outputevents_last_24h_before_discharge,7
num__transfer_admission_with_psych_history_flag,7
cat__gender_M,7
num__mean_bp_arterial_vital_mean_value,7
num__elixhauser_rheumatoid_collagen,7
num__self_harm_without_aftercare_or_safety_plan_flag,7
num__elixhauser_diabetes_uncomplicated,7
num__systolic_bp_arterial_vital_value_change,7
cat__discharge_location_CHRONIC/LONG TERM ACUTE CARE,7
num__had_steroid_exposure,7
num__substance_use_home_discharge_no_followup_flag,7
num__frequent_psych_admitter_and_discharge_planning,7
num__previous_icu_admissions_365d,7
num__had_outpatient_followup_order,7
num__late_followup_to_total_late_order_ratio,7
num__abnormal_labs_without_psych_history_flag,7
cat__discharge_location_HOME HEALTH CARE,7
num__safety_order_and_self_harm_flag,6
num__age_65plus,6
num__psychosis_and_previous_psych_365d,6
num__mixed_psych_medical_readmission_pattern_flag,6
num__bipolar_without_mood_stabiliser_continuity_flag,6
num__previous_nonpsych_admissions_30d,6
num__admitted_from_ed_flag,6
num__has_psychotic_disorder,6
num__prior_psych_365d_x_self_harm,6
num__elixhauser_renal_failure,6
num__elixhauser_diabetes_complicated,6
num__elixhauser_coagulopathy,5
num__late_consult_orders_last_12h,5
num__late_followup_or_aftercare_orders_last_12h,5
num__late_psych_safety_orders_last_12h,5
num__systolic_bp_arterial_vital_value_range,5
num__previous_total_admissions_30d,5
num__mood_stabiliser_antipsychotic_combination,5
num__older_medical_complexity_home_discharge_flag,5
num__previous_ed_visits_7d,5
num__vital_abnormality_burden_score,5
num__late_orders_without_self_harm_flag,5
num__severe_mental_illness_x_antipsychotic,5
cat__discharge_location_grouped_Home health care,5
num__had_long_acting_injectable_antipsychotic,5
num__ed_admission_with_psychosis_flag,5
