config_number,subsample,reg_lambda,reg_alpha,num_leaves,n_estimators,min_child_samples,max_depth,learning_rate,colsample_bytree,training_roc_auc,validation_roc_auc,training_pr_auc_average_precision,validation_pr_auc_average_precision,validation_brier_score,elapsed_seconds
72,0.85,60,1.0,31,850,100,5,0.05,0.6,0.892376036278347,0.7913018690162834,0.7110375798066383,0.5863830674269933,0.16536364032219825,7.721393505002197
57,0.75,35,1.0,31,850,50,5,0.025,0.9,0.8617858645806675,0.7935994634374295,0.6647052599946506,0.5862389532398543,0.16964408907082287,8.744130692997715
38,0.85,35,1.5,31,850,75,5,0.04,0.9,0.8880830166500394,0.7916621726376578,0.7054181436358908,0.5862082766679175,0.16586319899460408,8.123634295006923
7,0.75,20,0.5,95,850,125,5,0.03,0.9,0.8695691894416046,0.7934403013310474,0.6747065491728126,0.5858827894016678,0.16862725252097172,7.913383569997677
14,0.75,10,1.0,127,850,100,6,0.05,0.9,0.9414743221329337,0.7871096328902577,0.810573440245631,0.5855489737994658,0.1566972424881997,10.06752014799713
4,0.95,35,1.0,95,360,75,5,0.05,0.6,0.8497602706995234,0.7931413236108775,0.6465450582454244,0.5854250357895714,0.17170938039120054,4.101191879999533
36,0.85,20,1.5,63,360,75,5,0.05,0.9,0.854542993843108,0.7937502420636873,0.6531681584635605,0.5854116589989075,0.17079200741422204,4.4975590520043625
63,0.75,35,1.0,31,700,50,5,0.05,0.75,0.8913418423718892,0.7913234105916913,0.7111263044762424,0.5852779146875903,0.1656266131691708,6.494084466001368
5,0.95,10,1.5,95,850,75,-1,0.05,0.6,0.9961602355413507,0.7812288696150697,0.978641634898959,0.585026459188817,0.1330856651618797,24.71219484500034
58,0.95,20,1.5,159,500,100,5,0.02,0.6,0.8253741670888581,0.7942962596123699,0.6156592207021462,0.5849819263863072,0.1748581313961935,5.229355746996589
56,0.85,60,1.5,127,360,100,5,0.05,0.75,0.844528746816665,0.7931646386147733,0.6384096941987801,0.5846785657476341,0.17218619736484586,3.9063791450025747
23,0.95,20,0.5,31,360,125,5,0.03,0.6,0.8271572164640116,0.7939016965770263,0.6172354774054859,0.5833253595014196,0.17475808812014176,4.216173151995463
54,0.75,35,1.5,31,300,75,5,0.025,0.6,0.8145034996756567,0.7930313338398394,0.6013414601894745,0.5808025587218678,0.17675582344715068,3.9062756130006164
34,0.75,45,1.0,159,300,125,5,0.025,0.75,0.8127121676502542,0.7921801811776709,0.5981042289043105,0.5795998114308816,0.17716934092797032,3.7223090910047176
75,0.85,45,1.5,31,300,125,5,0.02,0.75,0.8059419156965252,0.7911706291073861,0.5895194728367126,0.5768053266634183,0.1785482515684085,3.7478138919977937
