finding_type,subgroup_family,subgroup_name,admissions,readmissions,readmission_rate,mean_predicted_probability,calibration_gap_mean_predicted_minus_observed,calibration_direction,pr_auc_average_precision,recall_sensitivity,precision,f1_score,pr_auc_difference,recall_difference,classification_group,enrichment_ratio,subgroup_count_in_group,false_positive_admissions,readmitted_60d_psych_rate_among_30d_false_positives,readmitted_90d_psych_rate_among_30d_false_positives,readmitted_365d_psych_rate_among_30d_false_positives,interpretation_reliability
largest_calibration_gap,prior_utilisation,previous_total_admissions_high,5064.0,2035.0,0.4018562401263823,0.4903856486193119,0.08852940849292956,overestimates,0.6825283350278294,0.8275184275184275,,,,,,,,,,,,main_interpretation
largest_calibration_gap,prior_utilisation,previous_psych_admissions_365d_any,19427.0,5501.0,0.2831626087404128,0.3708382956171663,0.08767568687675348,overestimates,0.6046008365214521,0.6556989638247591,,,,,,,,,,,,main_interpretation
largest_calibration_gap,prior_utilisation,previous_ed_visits_365d_any,19619.0,5368.0,0.27361231459299656,0.35914791969258775,0.08553560509959118,overestimates,0.6044724508880588,0.6471684053651267,,,,,,,,,,,,main_interpretation
largest_calibration_gap,demographics,race_HISPANIC/LATINO - PUERTO RICAN,1226.0,246.0,0.200652528548124,0.28599645170441235,0.08534392315628836,overestimates,0.5699710023557983,0.5813008130081301,,,,,,,,,,,,main_interpretation
older_patient_focus,intersection,age_70plus_x_no_prior_psych_admission,7377.0,790.0,0.10708960281957436,0.1613121515341505,,,0.3186985110077163,0.14177215189873418,0.5894736842105263,0.22857142857142856,,,,,,,,,,
older_patient_focus,demographics,age_80plus,5476.0,700.0,0.12783053323593865,0.18721656507701176,0.059386031841073106,overestimates,0.3340200584381712,0.18714285714285714,0.4532871972318339,0.2649140546006067,,,,,,,,,,main_interpretation
older_patient_focus,intersection,age_70plus_x_cognitive_delirium,4863.0,652.0,0.1340736171087806,0.190155494267464,,,0.3386993511845946,0.19325153374233128,0.44680851063829785,0.2698072805139186,,,,,,,,,,
older_patient_focus,demographics,age_70plus,11090.0,1520.0,0.13706041478809738,0.1997069654854726,0.06264655069737521,overestimates,0.37847726345749133,0.24144736842105263,0.4604767879548306,0.31678895123003886,,,,,,,,,,main_interpretation
older_patient_focus,medical_complexity,age_65plus_x_charlson,11407.0,1736.0,0.15218725344086964,0.2175943754030564,0.06540712196218676,overestimates,0.3820892503632611,0.27419354838709675,0.4335154826958106,0.3359209597741708,,,,,,,,,,main_interpretation
older_patient_focus,intersection,age_70plus_x_charlson_high,4085.0,701.0,0.17160342717258262,0.23422851804422865,,,0.38686149663154246,0.2867332382310984,0.4205020920502092,0.34096692111959287,,,,,,,,,,
older_patient_focus,demographics,age_65plus,14783.0,2144.0,0.14503145504971926,0.20726665971610103,0.06223520466638177,overestimates,0.3907978845348333,0.2677238805970149,0.45161290322580644,0.33616398243045387,,,,,,,,,,main_interpretation
older_patient_focus,intersection,age_70plus_x_home_no_followup,876.0,106.0,0.12100456621004566,0.1942739121620203,,,0.39462032644503847,0.3018867924528302,0.47761194029850745,0.3699421965317919,,,,,,,,,,
older_patient_focus,diagnosis,has_cognitive_delirium,6322.0,932.0,0.14742170199304017,0.20667697634479198,0.05925527435175182,overestimates,0.39554125161197157,0.26394849785407726,0.45724907063197023,0.3346938775510204,,,,,,,,,,main_interpretation
older_patient_focus,intersection,age_70plus_x_depression,4335.0,669.0,0.15432525951557094,0.21910004041289718,,,0.43479952662464766,0.2929745889387145,0.5,0.3694627709707823,,,,,,,,,,
