source_notebook,model_family,model_group,model,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms,threshold_role_normalised,threshold_role,evaluation_subset,subset_admissions,precision_recall_gap,ensemble_members,ensemble_weights,ensemble_blend_note,recommended_threshold_label,threshold_selection_note
WP3.4,CatBoost,catboost,CatBoost training Youden threshold,0.47,0.7498,0.7178,0.4166,0.6648,0.7708,0.5122,0.7977,0.5868,0.1654,29176,8676,3124,6195,55.762,0.9623,0.2574,0.0055,training_youden,recall sensitivity,,,,,,,,
WP3.4,CatBoost,catboost,CatBoost balanced precision-recall threshold,0.6,0.8181,0.702,0.5421,0.51,0.8939,0.5256,0.7977,0.5868,0.1654,33837,4015,4566,4753,55.762,0.9623,0.2574,0.0055,balanced_precision_recall,balanced precision-recall,,,,,,,,
WP3.4,CatBoost,catboost,CatBoost exploratory held-out F1 threshold,0.56,0.8034,0.7095,0.5021,0.5544,0.8647,0.5269,0.7977,0.5868,0.1654,32729,5123,4153,5166,55.762,0.9623,0.2574,0.0055,heldout_f1,exploratory,,,,,,,,
WP3.4,Targeted CatBoost,catboost_targeted,Targeted CatBoost default threshold,0.5,0.8417,0.6632,0.6848,0.3682,0.9583,0.4789,0.7979,0.5912,0.1202,36273,1579,5888,3431,49.5074,0.9577,0.2183,0.0046,default,default,,,,,,,,
WP3.4,Targeted CatBoost,catboost_targeted,Targeted CatBoost official balanced precision-recall threshold,0.35,0.818,0.7042,0.5412,0.516,0.8923,0.5283,0.7979,0.5912,0.1202,33776,4076,4510,4809,49.5074,0.9577,0.2183,0.0046,official,official,,,,,,,,
WP3.4,Targeted CatBoost,catboost_targeted,Targeted CatBoost training Youden threshold,0.26,0.7633,0.7184,0.4333,0.6443,0.7926,0.5181,0.7979,0.5912,0.1202,30000,7852,3315,6004,49.5074,0.9577,0.2183,0.0046,training_youden,recall sensitivity,,,,,,,,
WP3.4,Targeted CatBoost,catboost_targeted,Targeted CatBoost balanced precision-recall threshold,0.35,0.818,0.7042,0.5412,0.516,0.8923,0.5283,0.7979,0.5912,0.1202,33776,4076,4510,4809,49.5074,0.9577,0.2183,0.0046,balanced_precision_recall,balanced precision-recall,,,,,,,,
WP3.4,Targeted CatBoost,catboost_targeted,Targeted CatBoost exploratory held-out F1 threshold,0.34,0.8139,0.7065,0.5291,0.5288,0.8841,0.529,0.7979,0.5912,0.1202,33466,4386,4391,4928,49.5074,0.9577,0.2183,0.0046,heldout_f1,exploratory,,,,,,,,
WP3.4,Calibrated Targeted CatBoost,calibrated_targeted_catboost,Calibrated Targeted CatBoost default threshold,0.5,0.8405,0.6467,0.7094,0.3263,0.9671,0.447,0.79,0.5785,0.1211,36606,1246,6278,3041,28.5832,0.8627,0.2353,0.005,default,default,,,,,,,,
WP3.4,Calibrated Targeted CatBoost,calibrated_targeted_catboost,Calibrated Targeted CatBoost official balanced precision-recall threshold,0.25,0.8136,0.6991,0.5292,0.5099,0.8883,0.5194,0.79,0.5785,0.1211,33624,4228,4567,4752,28.5832,0.8627,0.2353,0.005,official,official,,,,,,,,
