processed_feature_name,clean_train_nonzero_count,clean_test_nonzero_count,clean_train_nonzero_percent,clean_test_nonzero_percent,all_zero_train,near_zero_train,core_rapid_trial_keep,clinically_relevant_extra_candidate,explicit_aftercare_addback_candidate,rapid_trial_mean_abs_shap,high_recent_shap_signal,extra_keep_after_sparsity_check,keep_in_primary_reduced_matrix,primary_reduced_selection_reason
num__num_lab_events_first_72h,191320,47171,100.0,100.0,False,False,True,False,False,0.001766788003828361,False,False,True,kept_rapid_trial_core
num__num_lab_events_last_24h_before_discharge,191320,47171,100.0,100.0,False,False,True,True,False,0.003498989745097132,True,True,True,kept_rapid_trial_core; kept_high_recent_shap_signal; kept_clinically_relevant_non_sparse_extra
num__num_lab_events_last_48h_before_discharge,191320,47171,100.0,100.0,False,False,True,True,False,0.004334566430894518,True,True,True,kept_rapid_trial_core; kept_high_recent_shap_signal; kept_clinically_relevant_non_sparse_extra
num__num_abnormal_lab_flags,191320,47171,100.0,100.0,False,False,True,False,False,0.006364812159559429,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__num_abnormal_lab_flags_last_48h,191320,47171,100.0,100.0,False,False,True,False,False,0.008987830307759622,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__num_critical_or_priority_labs,191320,47171,100.0,100.0,False,False,True,False,False,0.004710277697599134,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__lab_activity_last_24h_flag,191320,47171,100.0,100.0,False,False,False,False,False,0.0006080136779193585,False,False,False,removed_not_selected_by_signal_or_family_rule
num__lab_activity_near_discharge_flag,191320,47171,100.0,100.0,False,False,True,True,False,0.0002330851602469992,False,True,True,kept_rapid_trial_core; kept_clinically_relevant_non_sparse_extra
num__abnormal_lab_burden_score,191320,47171,100.0,100.0,False,False,True,False,False,0.005392770141370976,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__num_oxygen_support_chart_events,191320,47171,100.0,100.0,False,False,True,False,False,0.0006362647429068011,False,False,True,kept_rapid_trial_core
num__max_oxygen_flow_rate,191320,47171,100.0,100.0,False,False,True,False,False,0.001023004144641968,False,False,True,kept_rapid_trial_core
num__mean_oxygen_flow_rate,191320,47171,100.0,100.0,False,False,True,False,False,0.003964682831739877,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__high_oxygen_flow_flag,191320,47171,100.0,100.0,False,False,False,False,False,0.0,False,False,False,removed_not_selected_by_signal_or_family_rule
num__num_gcs_chart_events,191320,47171,100.0,100.0,False,False,True,False,False,0.0006257325082011783,False,False,True,kept_rapid_trial_core
num__gcs_min_score,191320,47171,100.0,100.0,False,False,True,False,False,0.0008636961145986617,False,False,True,kept_rapid_trial_core
num__low_gcs_flag,191320,47171,100.0,100.0,False,False,False,False,False,0.0,False,False,False,removed_not_selected_by_signal_or_family_rule
num__num_orientation_chart_events,191320,47171,100.0,100.0,False,False,False,False,False,0.0006887610406016882,False,False,False,removed_not_selected_by_signal_or_family_rule
num__impaired_orientation_flag,191320,47171,100.0,100.0,False,False,False,False,False,3.668024805029761e-05,False,False,False,removed_not_selected_by_signal_or_family_rule
num__num_pain_chart_events,191320,47171,100.0,100.0,False,False,True,False,False,0.001519031070841204,False,False,True,kept_rapid_trial_core
num__pain_max_score,191320,47171,100.0,100.0,False,False,True,False,False,0.003350567722318856,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__high_pain_flag,191320,47171,100.0,100.0,False,False,False,False,False,0.0006056966790321832,False,False,False,removed_not_selected_by_signal_or_family_rule
num__num_rass_sedation_chart_events,191320,47171,100.0,100.0,False,False,True,False,False,0.0005430515225636919,False,False,True,kept_rapid_trial_core
num__rass_extreme_flag,191320,47171,100.0,100.0,False,False,True,False,False,0.002660020681291078,False,False,True,kept_rapid_trial_core
num__num_cam_delirium_chart_events,191320,47171,100.0,100.0,False,False,True,False,False,0.0008781283387887602,False,False,True,kept_rapid_trial_core
num__delirium_or_cam_positive_flag,191320,47171,100.0,100.0,False,False,False,False,False,0.0,False,False,False,removed_not_selected_by_signal_or_family_rule
num__agitation_chart_event_flag,191320,47171,100.0,100.0,False,False,False,False,False,0.0001895825898343852,False,False,False,removed_not_selected_by_signal_or_family_rule
num__num_restraint_chart_events,191320,47171,100.0,100.0,False,False,False,False,False,0.0002726087662798006,False,False,False,removed_not_selected_by_signal_or_family_rule
num__had_restraint_chart_event,191320,47171,100.0,100.0,False,False,False,False,False,0.0,False,False,False,removed_not_selected_by_signal_or_family_rule
num__num_fall_mobility_chart_events,191320,47171,100.0,100.0,False,False,False,False,False,0.001126099114354377,False,False,False,removed_not_selected_by_signal_or_family_rule
num__fall_or_mobility_risk_flag,191320,47171,100.0,100.0,False,False,False,False,False,0.0,False,False,False,removed_not_selected_by_signal_or_family_rule
num__num_selected_neuro_behavioral_chart_events,191320,47171,100.0,100.0,False,False,False,False,False,0.0002814169248497158,False,False,False,removed_not_selected_by_signal_or_family_rule
