processed_feature_name,train_nonzero_count,test_nonzero_count,train_nonzero_percent,test_nonzero_percent,all_zero_train,all_zero_test,very_rare_train,rare_train,timing_or_leakage_flags,has_timing_or_leakage_flag,feature_family,random_forest_importance,random_forest_importance_normalised,regularised_random_forest_importance,regularised_random_forest_importance_normalised,xgboost_importance,xgboost_importance_normalised,targeted_xgboost_importance,targeted_xgboost_importance_normalised,catboost_importance,catboost_importance_normalised,targeted_catboost_importance,targeted_catboost_importance_normalised,lightgbm_importance,lightgbm_importance_normalised,targeted_lightgbm_importance,targeted_lightgbm_importance_normalised,available_model_signal_count,mean_available_model_signal,removal_review_reason,review_for_removal
num__new_safety_order_last_12h_before_discharge_flag,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,discharge_readiness_trajectory_features,6.523904042724898e-05,0.003467200795899346,8.440965635902033e-05,0.0029529732759253032,0.0,0.0,0.0,0.0,0.0192723099760893,0.0038022183677043184,0.0219609115805059,0.0032895206320422885,0.0,0.0,0.0,0.0,8,0.001688989133946407,full_record_only_not_for_early_prediction,True
num__psychotropic_started_after_72h_flag,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,psychiatric_features,8.315005525712982e-05,0.004419101444143546,5.594932219753658e-05,0.001957321713913176,0.00036057032,0.0032758464299238225,0.00039538764,0.00212878129598808,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.001932367149758454,8,0.0017141772542158848,full_record_only_not_for_early_prediction,True
num__previous_admission_had_late_orders,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,discharge_readiness_trajectory_features,8.893696098382338e-05,0.004726652934937789,0.0001158749229248,0.004053748889717788,5.9470643e-05,0.0005403015244206016,0.00019237999,0.0010357807958649742,0.0248085462252207,0.0048944579165966975,0.0125185713972992,0.0018751543506811722,0.0,0.0,0.0,0.0,8,0.002140762051527378,full_record_only_not_for_early_prediction,True
num__abnormal_labs_last_12h_before_discharge,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,discharge_readiness_trajectory_features,0.0001255575703397,0.006672895630622524,0.0001214406471825,0.004248459254658173,0.000111690984,0.0010147327466971735,0.00012244558,0.0006592514133229156,0.03857707167402,0.007610839109229007,0.0,0.0,0.0,0.0,0.0,0.0,8,0.002525772269316224,full_record_only_not_for_early_prediction,True
num__safety_orders_after_72h,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,safety_observation_features,8.499269653168385e-05,0.004517030648065776,4.061041002291788e-05,0.001420707780303981,0.00025889772,0.0023521325099010297,0.00012337485,0.0006642546364760795,0.017119249925571,0.003377442900673758,0.0075281071237008,0.0011276336873748225,4.0,0.003734827264239029,4.0,0.003864734299516908,8,0.002632345465818923,full_record_only_not_for_early_prediction,True
num__high_care_team_touchpoints_near_discharge_flag,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,discharge_readiness_trajectory_features,0.0001490744779639,0.007922727637619075,0.0001014450788947,0.0035489376437695987,0.00016517632,0.0015006566768444914,0.00034043696,0.0018329248554938193,0.0080942952549489,0.0015969169305688844,0.0252406819729863,0.0037807967949135372,1.0,0.0009337068160597573,0.0,0.0,8,0.0026395834194086454,full_record_only_not_for_early_prediction,True
num__safety_orders_last_12h_before_discharge,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,discharge_readiness_trajectory_features,0.0001348613755315,0.007167356624448361,0.0001615460790859,0.005651500965033841,0.00032684932,0.002969485059239011,0.00023317616,0.001255428844660708,0.016212095062248,0.0031984710551628483,0.0106940188963015,0.0016018549899386057,0.0,0.0,0.0,0.0,8,0.002730512192310422,full_record_only_not_for_early_prediction,True
num__followup_order_last_24h_before_discharge,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,discharge_readiness_trajectory_features,0.0001140630655571,0.00606200748956928,6.802682008203145e-05,0.0023798388764196252,0.00027108451,0.0024628516964212382,0.00027401646,0.001475314490966045,0.0,0.0,0.0067213330634206,0.001006787159353461,4.0,0.003734827264239029,6.0,0.005797101449275362,8,0.002864841053280505,full_record_only_not_for_early_prediction,True
num__previous_admission_had_late_safety_orders,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,prior_instability_features,7.322799546875034e-05,0.0038917826275280064,5.879598266921565e-05,0.0020569088069200166,0.0001949773,0.0017714039583767909,0.00013775138,0.0007416583918519722,0.0,0.0,0.0,0.0,11.0,0.01027077497665733,9.0,0.008695652173913044,8,0.003428522616905895,full_record_only_not_for_early_prediction,True
num__mean_bp_arterial_vital_mean_value,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,0.0001002433949947,0.005327545847288492,8.34751833803429e-05,0.0029202818298024588,0.00024137663,0.00219295024519085,0.00022278138,0.001199462974711129,0.0,0.0,0.0039752794068022,0.0005954563215133816,7.0,0.006535947712418301,9.0,0.008695652173913044,8,0.003433412138104707,full_record_only_not_for_early_prediction,True
