csv_path,sheet_name,rows,columns,rows_written,note
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_19_256-64_wd0p0003_bs1024_performance.csv,64_wd0p0003_bs1024_performanc_2,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_19_256-64_wd0p0003_bs1024_test_predictions.csv,wd0p0003_bs1024_test_predicti_4,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_19_256-64_wd0p0003_bs1024_training_history.csv,wd0p0003_bs1024_training_hist_4,15,9,15,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_19_256-64_wd0p0003_bs1024_validation_threshold_search.csv,bs1024_validation_threshold_s_6,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_20_256-64_wd0p0005_bs512_performance.csv,64_wd0p0005_bs512_performance,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_20_256-64_wd0p0005_bs512_test_predictions.csv,wd0p0005_bs512_test_predictions,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_20_256-64_wd0p0005_bs512_training_history.csv,wd0p0005_bs512_training_history,16,9,16,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_20_256-64_wd0p0005_bs512_validation_threshold_search.csv,bs512_validation_threshold_se_7,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_performance.csv,5_pytorch_mlp_performance,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_screening_performance.csv,pytorch_mlp_screening_performan,30,25,30,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_small_regularised_performance.csv,mlp_small_regularised_performan,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_small_regularised_test_predictions.csv,small_regularised_test_predicti,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_small_regularised_training_history.csv,small_regularised_training_hist,15,5,15,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_small_regularised_validation_threshold_search.csv,regularised_validation_threshol,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_test_predictions.csv,pytorch_mlp_test_predictions,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_training_history.csv,pytorch_mlp_training_history,10,9,10,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_validation_threshold_search.csv,mlp_validation_threshold_search,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_variant_summary.csv,pytorch_mlp_variant_summary,10,11,10,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_wide_regularised_performance.csv,mlp_wide_regularised_performanc,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_wide_regularised_test_predictions.csv,wide_regularised_test_predictio,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_wide_regularised_training_history.csv,wide_regularised_training_histo,13,5,13,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_wide_regularised_validation_threshold_search.csv,regularised_validation_thresh_1,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_sequence_subset_tabular_mlp_performance.csv,subset_tabular_mlp_performance,3,22,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_sequence_subset_tabular_mlp_test_predictions.csv,tabular_mlp_test_predictions,7302,15,7302,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_sequence_subset_tabular_mlp_training_history.csv,tabular_mlp_training_history,11,4,11,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_sequence_subset_tabular_mlp_validation_threshold_search.csv,mlp_validation_threshold_sear_1,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_performance.csv,t3_5_tabnet_performance,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_screening_performance.csv,5_tabnet_screening_performance,18,33,18,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_01_d24_steps4_gamma1p4_lr0p002_performance.csv,steps4_gamma1p4_lr0p002_perform,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_01_d24_steps4_gamma1p4_lr0p002_test_predictions.csv,gamma1p4_lr0p002_test_predictio,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_01_d24_steps4_gamma1p4_lr0p002_validation_threshold_search.csv,lr0p002_validation_threshold_se,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_04_d32_steps3_gamma1p6_lr0p001_performance.csv,steps3_gamma1p6_lr0p001_perform,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_04_d32_steps3_gamma1p6_lr0p001_test_predictions.csv,gamma1p6_lr0p001_test_predictio,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_04_d32_steps3_gamma1p6_lr0p001_validation_threshold_search.csv,lr0p001_validation_threshold_se,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_05_d16_steps4_gamma1p6_lr0p002_performance.csv,steps4_gamma1p6_lr0p002_perform,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_05_d16_steps4_gamma1p6_lr0p002_test_predictions.csv,gamma1p6_lr0p002_test_predictio,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_05_d16_steps4_gamma1p6_lr0p002_validation_threshold_search.csv,lr0p002_validation_threshold__1,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_06_d32_steps4_gamma1p4_lr0p002_performance.csv,steps4_gamma1p4_lr0p002_perfo_1,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_06_d32_steps4_gamma1p4_lr0p002_test_predictions.csv,gamma1p4_lr0p002_test_predict_1,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_06_d32_steps4_gamma1p4_lr0p002_validation_threshold_search.csv,lr0p002_validation_threshold__2,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_07_d32_steps3_gamma1p2_lr0p002_performance.csv,steps3_gamma1p2_lr0p002_perform,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_07_d32_steps3_gamma1p2_lr0p002_test_predictions.csv,gamma1p2_lr0p002_test_predictio,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_07_d32_steps3_gamma1p2_lr0p002_validation_threshold_search.csv,lr0p002_validation_threshold__3,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_08_d24_steps5_gamma1p2_lr0p003_performance.csv,steps5_gamma1p2_lr0p003_perform,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_08_d24_steps5_gamma1p2_lr0p003_test_predictions.csv,gamma1p2_lr0p003_test_predictio,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_tabnet_screen_08_d24_steps5_gamma1p2_lr0p003_validation_threshold_search.csv,lr0p003_validation_threshold_se,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_test_predictions.csv,5_tabnet_test_predictions,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_validation_threshold_search.csv,tabnet_validation_threshold_sea,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabnet_variant_summary.csv,5_tabnet_variant_summary,6,16,6,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabtransformer_style_performance.csv,5_tabtransformer_style_performa,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabtransformer_style_screening_performance.csv,tabtransformer_style_screening_,24,27,24,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabtransformer_style_selected_features.csv,tabtransformer_style_selected_f,200,1,200,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabtransformer_style_tabtransformer_screen_01_d48_h6_l1_drop0p3_wd0p0005_performance.csv,l1_drop0p3_wd0p0005_performance,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_tabtransformer_style_tabtransformer_screen_01_d48_h6_l1_drop0p3_wd0p0005_test_predictions.csv,drop0p3_wd0p0005_test_predictio,47171,15,47171,complete
