processed_feature_name,model_family,model_name,model_mean_abs_shap,model_mean_signed_shap
num__wbc_lab_first_24h_mean,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0016495063977426862,0.0001400314468086688
num__creatinine_lab_first_24h_min,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0009562672877339621,-4.491253366217881e-05
num__glucose_lab_first_24h_min,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0021846621729780624,0.00039344578559496487
num__hemoglobin_lab_first_24h_min,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0032063893699736234,-6.076504063932199e-05
num__platelet_lab_first_24h_min,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.001695026185309504,0.00019153612374445865
num__potassium_lab_first_24h_min,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0021551769487772677,-0.00022143370316325589
num__sodium_lab_first_24h_min,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0009474060069284415,0.00029695714406529803
num__urea_nitrogen_lab_first_24h_min,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.001312907581354599,-0.0001523682802506525
num__wbc_lab_first_24h_min,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0016596634139261334,0.00013898804910840947
num__creatinine_lab_first_72h_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0003455272987111644,8.60128848978501e-05
num__glucose_lab_first_72h_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0015473739460565347,-0.0003579832345590081
num__hemoglobin_lab_first_72h_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.00028671683219660716,2.2774357925320536e-05
num__platelet_lab_first_72h_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.00045396976956216424,-9.106916074627663e-05
num__potassium_lab_first_72h_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0012050472767882693,-5.792903328495441e-05
num__sodium_lab_first_72h_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.000627323316158544,0.0001002142984310338
num__urea_nitrogen_lab_first_72h_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.00015541040927810493,-1.035900181237805e-05
num__wbc_lab_first_72h_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0003406901711154828,-5.9472187902442516e-05
num__creatinine_lab_first_72h_max,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0008407202629952408,-0.00010435186502458238
num__glucose_lab_first_72h_max,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.00192336271777184,0.00035331336256703836
num__hemoglobin_lab_first_72h_max,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0018229518235604275,0.00027558654865172494
num__platelet_lab_first_72h_max,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.001954024341558528,0.00037123137828045505
num__potassium_lab_first_72h_max,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0015282172932373289,-0.00015799783357309979
num__sodium_lab_first_72h_max,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0012086791560049679,2.3648826823023626e-05
num__urea_nitrogen_lab_first_72h_max,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0009635764262283688,-8.629743549191331e-05
num__wbc_lab_first_72h_max,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0023314063774880177,0.0001269777234673998
num__creatinine_lab_first_72h_mean,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0019826270635318636,5.0290211931413575e-05
num__glucose_lab_first_72h_mean,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.003524629617150459,-0.00014389028184688668
num__hemoglobin_lab_first_72h_mean,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.002759911499374835,-0.0005555692477100705
num__platelet_lab_first_72h_mean,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.002291292774584492,0.0001756213470393408
num__potassium_lab_first_72h_mean,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.001552109189828545,5.096037846517389e-05
num__sodium_lab_first_72h_mean,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0035782533371647523,0.00030787779569103646
num__urea_nitrogen_lab_first_72h_mean,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.002078240483198516,-6.414187801286117e-05
num__wbc_lab_first_72h_mean,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0016055193127784623,4.6156747910436636e-05
num__creatinine_lab_first_72h_min,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0006730440089608335,6.517495117101647e-05
num__glucose_lab_first_72h_min,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.005405417487230801,-0.00041394119562257855
num__hemoglobin_lab_first_72h_min,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0018629097898291483,2.780831703952686e-05
num__platelet_lab_first_72h_min,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.001455346984189972,8.324826891610487e-05
num__potassium_lab_first_72h_min,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0010914167349458396,2.725925627919362e-05
num__sodium_lab_first_72h_min,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.002708078575561952,0.00029488559158863614
num__urea_nitrogen_lab_first_72h_min,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0011161529159806867,0.000137734525405629
num__wbc_lab_first_72h_min,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0018704541962607305,0.00026272171247623355
