processed_feature_name,feature_name_clean,feature_family,importance_rank,mean_abs_shap,mean_signed_shap,nonzero_train_percent,selection_reason
num__num_dose_due_records,num_dose_due_records,medication_emar_pharmacy,363,0.0024568901816170545,-0.00013775284150154072,100.0,top_global_shap
num__hemoglobin_lab_first_value,hemoglobin_lab_first_value,lab_vital_hourly,364,0.002433471447769376,0.0001089076550127339,100.0,top_global_shap
num__admission_source_high_acuity_flag,admission_source_high_acuity_flag,other,365,0.0024268377228567686,2.23195397765576e-05,100.0,top_global_shap
num__sodium_lab_first_72h_min,sodium_lab_first_72h_min,lab_vital_hourly,366,0.0024260933181546682,0.00017799713569516373,0.14844240016725904,top_global_shap
cat__admission_location_CLINIC REFERRAL,admission_location_CLINIC REFERRAL,demographic_admin,367,0.002424800407099097,0.00020535966133763915,100.0,top_global_shap
num__potassium_lab_max_value,potassium_lab_max_value,lab_vital_hourly,368,0.002420534514305556,6.631673133134397e-05,100.0,top_global_shap
num__glucose_lab_first_72h_max,glucose_lab_first_72h_max,lab_vital_hourly,369,0.0024113942602621077,-2.3866785381431268e-06,100.0,top_global_shap
num__discharged_to_acute_hospital_flag,discharged_to_acute_hospital_flag,discharge_aftercare,370,0.002403116678185837,0.0009657971104580057,100.0,top_global_shap
num__mean_bp_noninvasive_vital_rate_of_change_per_day,mean_bp_noninvasive_vital_rate_of_change_per_day,lab_vital_hourly,371,0.0023983383316858323,-0.00047047002392869357,100.0,top_global_shap
num__num_abnormal_labs,num_abnormal_labs,lab_vital_hourly,372,0.00239321535749229,6.161698060159155e-05,100.0,top_global_shap
num__platelet_lab_first_72h_max,platelet_lab_first_72h_max,lab_vital_hourly,373,0.002382060587706721,-0.00026943905640352064,100.0,top_global_shap
cat__time_since_previous_psych_category_365+ days,time_since_previous_psych_category_365+ days,prior_utilisation,374,0.0023695369242947633,0.0001751498313039793,100.0,top_global_shap
cat__first_service_SURG,first_service_SURG,demographic_admin,375,0.002362562890192753,-0.0004509198920267319,100.0,top_global_shap
num__num_high_frequency_med_orders,num_high_frequency_med_orders,poe_late_order_pathway,376,0.0023621119869114415,0.00018425384083344193,100.0,top_global_shap
num__ed_admission_with_smi_flag,ed_admission_with_smi_flag,psychiatric_history,377,0.0023545790876503543,0.0007657213126913706,100.0,top_global_shap
num__wbc_lab_first_72h_min,wbc_lab_first_72h_min,lab_vital_hourly,378,0.00235213078577139,0.00019030991540459663,8.890863474806606,top_global_shap
num__hypotension_72h_hour_percentage,hypotension_72h_hour_percentage,demographic_admin,379,0.0023385754223040414,-9.7396387015221e-09,100.0,top_global_shap
