processed_feature_name,mean_abs_shap,max_abs_shap,mean_signed_shap,shap_model_count,feature_name_clean,feature_family,nonzero_train_percent,importance_rank
num__num_unique_procedure_codes,0.002109747783749071,0.0025433968910997464,6.258609035144331e-06,2,num_unique_procedure_codes,medical_comorbidity,100.0,410
num__glucose_lab_first_24h_max,0.0020998095730581697,0.002353363993630075,-0.0003895559387057602,2,glucose_lab_first_24h_max,lab_vital_hourly,100.0,411
num__physical_comorbidity_count,0.0020974349422567826,0.0021216117229687654,-0.00023218024034030787,2,physical_comorbidity_count,other,100.0,412
num__orders_last_24h_before_discharge,0.0020807990745560093,0.0027002585120499134,0.00026453363309791265,2,orders_last_24h_before_discharge,discharge_aftercare,100.0,413
num__emar_unique_medication_count,0.0020611019000119106,0.002186603145673871,-0.00013757132175140993,2,emar_unique_medication_count,medication_emar_pharmacy,100.0,414
num__latest_height_cm_before_admission_filled,0.0020606290220896795,0.0025138960960617456,0.00015778619025679256,2,latest_height_cm_before_admission_filled,other,100.0,415
num__late_discontinued_safety_orders,0.0020464637662684767,0.002890722685759931,0.00117253429397364,2,late_discontinued_safety_orders,poe_late_order_pathway,100.0,416
num__admission_month,0.0020434185764612693,0.0021312320604920387,0.00021849143960332354,2,admission_month,demographic_admin,100.0,417
num__no_late_orders_but_psychosis_flag,0.0020344055282074964,0.004068811056414993,0.0011575121264043482,2,no_late_orders_but_psychosis_flag,psychiatric_history,100.0,418
num__late_discharge_hour_with_no_followup_flag,0.0020190066112880625,0.002158484188839793,0.0002673909358566339,2,late_discharge_hour_with_no_followup_flag,discharge_aftercare,100.0,419
num__has_substance_use,0.002000774949670098,0.0025255316868424416,0.00010580970375203763,2,has_substance_use,psychiatric_history,100.0,420
num__systolic_bp_noninvasive_vital_last_value,0.001995308387225247,0.002375082578510046,0.00013765024835379062,2,systolic_bp_noninvasive_vital_last_value,lab_vital_hourly,0.006794898599205519,421
num__drg_mortality,0.001991617435164848,0.0026423237287329614,0.00024103174198227703,2,drg_mortality,medical_comorbidity,100.0,422
num__poe_order_density_first_72h,0.001978324485157223,0.002539767168753925,0.00022069048311589045,2,poe_order_density_first_72h,poe_late_order_pathway,100.0,423
num__num_unique_order_subtypes,0.0019657290391296616,0.002151437306711171,-0.00027511502176696164,2,num_unique_order_subtypes,poe_late_order_pathway,100.0,424
num__std_previous_admission_gap_days_filled,0.0019577935813157167,0.0024146935902535915,0.0005894566950054546,2,std_previous_admission_gap_days_filled,prior_utilisation,3.003867865356471,425
num__potassium_lab_first_24h_max,0.001956452407875955,0.002370889764279127,-0.00018647503413240352,2,potassium_lab_first_24h_max,lab_vital_hourly,100.0,426
num__num_provider_order_changes,0.0019548807273382525,0.0022560809932176433,-0.0002744651310909558,2,num_provider_order_changes,poe_late_order_pathway,100.0,427
num__respiratory_rate_vital_rate_of_change_per_day,0.001954238264702102,0.0019688205793499947,-0.000265960014100568,2,respiratory_rate_vital_rate_of_change_per_day,lab_vital_hourly,1.8058749738657744,428
num__emar_mean_delay_hours,0.001952346194979479,0.002223125658929348,-0.0004552624549200825,2,emar_mean_delay_hours,medication_emar_pharmacy,100.0,429
num__urea_nitrogen_lab_min_value,0.0019519898839830858,0.0023007914423942566,-0.00042823631574768963,2,urea_nitrogen_lab_min_value,lab_vital_hourly,25.00418147606105,430
num__had_basal_rate_order,0.0019159200168176475,0.0023887056456802255,-0.00023791860426848418,2,had_basal_rate_order,poe_late_order_pathway,100.0,431
num__sodium_lab_first_24h_max,0.0018984518052105501,0.002314563219627121,1.0138364545108601e-05,2,sodium_lab_first_24h_max,lab_vital_hourly,0.040769391595233115,432
num__height_change_recent,0.001892754746333113,0.002338122110813856,-9.353317956553108e-05,2,height_change_recent,other,100.0,433
num__glucose_lab_first_24h_mean,0.0018924643813929879,0.002148865722119808,7.595538497609957e-05,2,glucose_lab_first_24h_mean,lab_vital_hourly,100.0,434
num__has_opioid_related_disorder,0.0018895372094417467,0.0025202264077961445,0.00033259160892599933,2,has_opioid_related_disorder,psychiatric_history,100.0,435
num__potassium_lab_last_value,0.0018820834235664375,0.002133232308551669,-1.4277983696966568e-05,2,potassium_lab_last_value,lab_vital_hourly,100.0,436
num__urea_nitrogen_lab_last_value,0.0018809538925354708,0.002151620341464877,-0.00021113333308152247,2,urea_nitrogen_lab_last_value,lab_vital_hourly,17.943759146978884,437
num__age_65plus,0.0018735227216738664,0.002294203732162714,0.0002328053804425093,2,age_65plus,demographic_admin,100.0,438
cat__drg_severity_category_Minor,0.0018702658130448342,0.002918962389230728,0.0002226858772326528,2,drg_severity_category_Minor,medical_comorbidity,100.0,439
num__creatinine_lab_first_72h_mean,0.0018683498955836832,0.0019826270635318636,8.807954181152516e-05,2,creatinine_lab_first_72h_mean,lab_vital_hourly,100.0,440
num__num_transfer_events,0.0018682621453398611,0.002182867175242632,2.9541608255611637e-05,2,num_transfer_events,demographic_admin,100.0,441
num__num_unique_order_types,0.00186345768567235,0.0020819043274968863,-5.3191467451489246e-06,2,num_unique_order_types,poe_late_order_pathway,100.0,442
cat__service_transfer_category_1 transfer,0.0018500308923950514,0.0024590138345956802,7.155658192268754e-05,2,service_transfer_category_1 transfer,demographic_admin,100.0,443
num__glucose_lab_value_change,0.0018420578947697045,0.002044668421149254,-7.325635060047073e-05,2,glucose_lab_value_change,lab_vital_hourly,100.0,444
num__num_unique_pharmacy_medications,0.001836354908625154,0.001898383151923355,0.0004937559062827002,2,num_unique_pharmacy_medications,medication_emar_pharmacy,100.0,445
num__late_medication_change_home_discharge_flag,0.0018320676193154467,0.002562651876360178,-0.000245114816395629,2,late_medication_change_home_discharge_flag,discharge_aftercare,100.0,446
num__potassium_lab_value_range,0.001816938669674085,0.0020660977648049323,0.00011314031366218537,2,potassium_lab_value_range,lab_vital_hourly,100.0,447
num__late_medical_to_psych_order_ratio_last_12h,0.001815935977141662,0.0022192078798325926,5.781816039779591e-06,2,late_medical_to_psych_order_ratio_last_12h,psychiatric_history,100.0,448
num__psychotropic_medication_change_count,0.0018158872995986898,0.002218403620645404,0.000318266008953425,2,psychotropic_medication_change_count,psychiatric_history,100.0,449
num__polypharmacy_10plus_x_age_65plus,0.0018156021229422913,0.0020927784498780966,0.0003553792579355159,2,polypharmacy_10plus_x_age_65plus,medication_emar_pharmacy,100.0,450
num__elixhauser_alcohol_abuse,0.001805578426599911,0.0020574196241796017,0.00014870507849978372,2,elixhauser_alcohol_abuse,psychiatric_history,100.0,451
num__hemoglobin_lab_max_value,0.0018030856076400625,0.002164241842321286,-0.00010278538910595515,2,hemoglobin_lab_max_value,lab_vital_hourly,100.0,452
