config_number,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree,training_roc_auc,validation_roc_auc,training_pr_auc_average_precision,validation_pr_auc_average_precision,validation_brier_score,elapsed_seconds,pr_auc_gap,passes_pr_auc_gap_filter,selected_config,max_allowed_pr_auc_gap,gap_filter_used_for_selection
5,0.9,5,1.5,500,5,6,0.065,0.05,0.75,0.9512322148307322,0.7876597739702144,0.8389332801324729,0.5865775676019487,0.154057115316391,15.570598186001007,0.25235571253052425,False,False,0.13,False
63,0.85,35,0.5,900,15,4,0.04,0.05,0.8,0.8663981447943638,0.7925340049641859,0.6687846136697516,0.5865101329842743,0.16928158700466156,18.490539110003738,0.08227448068547727,True,False,0.13,False
8,0.9,50,1.5,500,15,8,0.065,0.0,0.75,0.9737590677194926,0.7868842462515333,0.8945278345076743,0.5864232193382781,0.14737729728221893,23.90591255799518,0.30810461516939613,False,False,0.13,False
27,0.75,5,0.5,700,10,4,0.05,0.1,0.8,0.8740686456711144,0.7916796340873841,0.6807599121535903,0.5862703049908439,0.16831393539905548,14.538604383000347,0.09448960716274646,True,False,0.13,False
7,0.9,20,1.0,900,15,4,0.05,0.1,0.8,0.8823889250410838,0.7921473355458528,0.6931964601116979,0.5862103558847943,0.16688264906406403,17.84405262400105,0.10698610422690358,True,False,0.13,False
22,0.9,10,1.0,500,15,6,0.065,0.1,0.8,0.9381689887409265,0.7882655362163798,0.8038484873616053,0.5860184934013932,0.15727457404136658,15.388740607006184,0.21782999396021208,False,False,0.13,False
52,0.75,5,0.5,900,5,4,0.05,0.05,0.6,0.8908981505184378,0.7908013405283931,0.7094242663785597,0.5858251860400588,0.1653623729944229,17.83840373899875,0.12359908033850087,True,False,0.13,False
47,0.75,10,1.5,300,15,5,0.03,0.1,0.6,0.8277928063633251,0.7945082897302456,0.6190940332577441,0.5854438956439423,0.17425844073295593,8.599076116006472,0.03365013761380187,True,False,0.13,False
24,0.9,35,1.5,900,5,5,0.065,0.05,0.8,0.9443141627274844,0.7867229572711256,0.8155965829186256,0.5853950874332579,0.15615631639957428,22.61757809300616,0.23020149548536772,False,False,0.13,False
48,0.75,20,0.5,700,10,4,0.04,0.1,0.8,0.8568450925153984,0.793556479499396,0.6542070342725551,0.5853378953747919,0.1708042323589325,14.910898080997868,0.06886913889776325,True,False,0.13,False
11,0.85,5,1.5,900,10,4,0.065,0.05,0.6,0.9059695276537039,0.7887100156829365,0.736023562033641,0.5849739017648833,0.16376149654388428,17.352611403999617,0.15104966026875777,False,False,0.13,False
72,0.75,5,0.0,300,5,4,0.065,0.0,0.6,0.8406317361074634,0.7940034950927062,0.6332517226882699,0.5844991667843284,0.1724390983581543,7.0100569690039265,0.04875255590394145,True,False,0.13,False
21,0.75,20,0.5,500,15,4,0.05,0.0,0.8,0.8499861749388679,0.7935453862701489,0.6439416106555172,0.5843154089154914,0.17157432436943054,11.264697970997076,0.059626201740025864,True,False,0.13,False
58,0.85,5,0.0,700,1,4,0.025,0.1,0.8,0.8381962697503232,0.7930933542305217,0.631190857304177,0.5840890808324853,0.1732572317123413,15.171879733003152,0.04710177647169167,True,False,0.13,False
76,0.75,20,1.5,300,10,5,0.03,0.05,0.8,0.8290880473883715,0.794087906568247,0.6196473830742464,0.5837876842521146,0.17425529658794403,9.259651712003688,0.0358596988221318,True,False,0.13,False
37,0.75,20,1.5,300,5,5,0.025,0.05,0.6,0.8212495870678965,0.7940914038188315,0.6114416386371018,0.5836735399185129,0.17525887489318848,9.34608128599939,0.027768098718588874,True,False,0.13,False
77,0.85,10,0.0,700,1,6,0.065,0.05,0.8,0.9731858322676536,0.7822566272309497,0.8988427608469536,0.5836177700858075,0.148130863904953,23.132858001001296,0.3152249907611461,False,False,0.13,False
45,0.85,50,0.0,360,1,4,0.065,0.1,0.75,0.842053112051414,0.7934755590736409,0.6326943182663836,0.583518985130909,0.1728406399488449,8.460622418999264,0.04917533313547451,True,False,0.13,False
43,0.85,10,1.5,700,10,8,0.065,0.05,0.8,0.9948245023249764,0.7802680682258031,0.9735904210660131,0.5831945161017372,0.1356627196073532,33.35553955700016,0.3903959049642759,False,False,0.13,False
62,0.75,5,1.5,500,15,4,0.03,0.05,0.6,0.8286504454150002,0.7938693780131156,0.6181827130540847,0.5831595063478777,0.17445972561836243,11.086808409003424,0.035023206706206955,True,False,0.13,False
20,0.85,10,1.5,360,10,4,0.04,0.1,0.8,0.8255471369056393,0.79303678434208,0.6144229324373329,0.5819989921310688,0.1750611811876297,8.698770787006652,0.032423940306264165,True,False,0.13,False
28,0.85,35,0.0,500,10,4,0.03,0.1,0.75,0.8250180895961041,0.7933280482684076,0.6129494414958991,0.5818526708256486,0.17508278787136078,11.351492919005977,0.031096770670250518,True,False,0.13,False
13,0.75,10,0.5,700,15,6,0.065,0.1,0.6,0.960261088259724,0.7831404953081592,0.8564805135938486,0.5817263578232168,0.15261855721473694,20.292755866001244,0.2747541557706318,False,False,0.13,False
35,0.75,35,1.5,300,10,4,0.065,0.1,0.6,0.8328877233513636,0.7930557835899353,0.621202838566318,0.5814769124278202,0.1738666296005249,7.341937239005347,0.03972592613849779,True,False,0.13,False
42,0.75,20,1.5,700,15,8,0.065,0.05,0.8,0.9918687432053661,0.7793139140929662,0.9589858111654473,0.5813403582575682,0.13877278566360474,33.104630283000006,0.3776454529078791,False,False,0.13,False
44,0.75,20,0.5,500,15,4,0.065,0.0,0.8,0.8638453593775256,0.7901292421355051,0.663234080357146,0.5813094321987068,0.17019158601760864,11.103483822997077,0.08192464815843925,True,False,0.13,False
10,0.85,20,1.5,900,1,7,0.065,0.0,0.8,0.9946349623853941,0.7796185345401427,0.973116613509056,0.5810867903209996,0.1361330896615982,41.29262924700015,0.39202982318805635,False,False,0.13,False
